기업명,인증연도,리콜종류,label
좋은상사,2022.0,명령에따른리콜,
도무스,2022.0,명령에따른리콜,
동서가구,2022.0,명령에따른리콜,
동서가구,2022.0,명령에따른리콜,
동서가구,2020.0,명령에따른리콜,
동서가구,2019.0,명령에따른리콜,
GBSTYLE,2022.0,명령에따른리콜,
GBSTYLE,2015.0,명령에따른리콜,
미스토리,2022.0,명령에따른리콜,
구름위에햇님,2022.0,명령에따른리콜,
구름위에햇님,2021.0,명령에따른리콜,
메이블,2022.0,명령에따른리콜,
리빙탑스,2022.0,명령에따른리콜,
말랑하니,2022.0,명령에따른리콜,
가베,2022.0,명령에따른리콜,
아이코닉스,2022.0,명령에따른리콜,
아이코닉스,2019.0,명령에따른리콜,
아이코닉스,2017.0,명령에따른리콜,
아이코닉스,2016.0,명령에따른리콜,
키즈토이,2022.0,명령에따른리콜,
제이엠컴퍼니,2022.0,명령에따른리콜,
지비와이아이앤씨,2022.0,명령에따른리콜,
피앤디,2022.0,명령에따른리콜,
피앤디,2022.0,명령에따른리콜,
피앤디,2020.0,명령에따른리콜,
마이다스,2022.0,명령에따른리콜,
오픈한,2022.0,명령에따른리콜,
오픈한,2022.0,명령에따른리콜,
오픈한,2021.0,명령에따른리콜,
오픈한,2021.0,명령에따른리콜,
오픈한,2020.0,명령에따른리콜,
오픈한,2017.0,명령에따른리콜,
라파클럽,2022.0,명령에따른리콜,
바이찬엔티(BY-CHAN.NT),2022.0,명령에따른리콜,
서양네트웍스,2022.0,명령에따른리콜,
서양네트웍스,2019.0,명령에따른리콜,
서양네트웍스,2017.0,명령에따른리콜,
서양네트웍스,2017.0,명령에따른리콜,
서양네트웍스,2016.0,명령에따른리콜,
서양네트웍스,2016.0,명령에따른리콜,
